step,time_sec,active_samples,solver_time_sec,grad_norm,solver_ret,energy_main,energy_sub0,energy_sub1
273,0.273,8,0.029094,1.71138e-06,0,-817.255,27.1367,0.573316
274,0.274,7,0.016567,3.39787e-09,0,-809.371,23.0519,0.4235
275,0.275,4,0.015756,2.03577e-09,0,-800.599,19.9905,0.28771
276,0.276,4,0.012306,2.00118e-06,0,-790.899,17.9447,0.173844
277,0.277,3,0.031404,1.66842e-09,0,-780.272,16.8676,0.0901791
278,0.278,3,0.013164,2.52275e-06,0,-768.759,16.678,0.0357446
279,0.279,2,0.018538,9.50187e-07,0,-756.447,17.2674,0.00802162
280,0.28,2,0.015219,2.27155e-09,0,-743.444,18.5054,0.000324062
281,0.281,1,0.014764,1.48654e-06,0,-729.892,20.2486,0.0
282,0.28200000000000003,0,0.046282,7.96982e-05,0,-715.949,22.3539,
283,0.28300000000000003,0,0.160192,7.34498e-06,0,-701.758,24.6905,
284,0.28400000000000003,0,0.012809,6.1662e-08,0,-687.453,27.1457,
285,0.28500000000000003,0,0.059813,5.26424e-06,0,-673.146,29.6291,
286,0.28600000000000003,0,0.011003,6.24594e-08,0,-658.927,32.0736,
287,0.28700000000000003,0,0.092293,0.000131011,0,-644.861,34.4341,
288,0.28800000000000003,0,0.014628,5.94726e-08,0,-630.992,36.6837,
289,0.289,0,0.0241,5.87423e-08,0,-617.346,38.8082,
290,0.29,0,0.011075,5.84678e-08,0,-603.933,40.7999,
291,0.291,0,0.017599,2.90634e-06,0,-590.761,42.6515,
292,0.292,0,0.111151,3.0911e-05,0,-577.835,44.3516,
293,0.293,0,0.013584,5.39945e-08,0,-565.166,45.882,
294,0.294,0,0.011688,5.1729e-08,0,-552.771,47.2163,
295,0.295,0,0.009717,4.95495e-08,0,-540.678,48.3209,
296,0.296,0,0.015603,4.73527e-08,0,-528.919,49.1564,
297,0.297,0,0.012381,4.5407e-08,0,-517.536,49.6804,
298,0.298,0,0.049374,1.91798e-05,0,-506.57,49.8508,
299,0.299,0,0.022205,4.35042e-08,0,-496.065,49.6297,
300,0.3,0,0.066281,4.54713e-06,0,-486.06,48.9872,
301,0.301,0,0.032566,0.000146426,0,-476.585,47.9052,
302,0.302,0,0.147666,5.7234e-05,0,-467.658,46.3806,
303,0.303,0,0.010776,4.8254e-08,0,-459.283,44.4279,
304,0.304,0,0.012357,5.99974e-08,0,-451.445,42.0796,
305,0.305,0,0.010131,7.28516e-08,0,-444.112,39.3863,
306,0.306,0,0.05547,8.16888e-08,0,-437.231,36.415,
307,0.307,0,0.019787,8.21956e-08,0,-430.735,33.2466,
