step,time_sec,barrier_active_samples,penalty_active_samples,barrier_solver_time_sec,penalty_solver_time_sec,barrier_energy_main,penalty_energy_main,barrier_energy_sub0,penalty_energy_sub0
264,0.264,38,817,0.02803,0.032011,-885.678,-2.77299,94.5413,436.056
265,0.265,31,817,0.019852,0.10269,-876.586,-4.82745,88.7133,432.14
266,0.266,26,817,0.025701,0.037743,-868.379,-8.8439,82.1621,428.186
267,0.267,20,817,0.016002,0.032451,-861.017,-14.8187,75.0233,424.211
268,0.268,18,817,0.033273,0.031543,-854.383,-22.7422,67.4864,420.226
269,0.269,16,817,0.026936,0.031308,-848.285,-32.5989,59.785,416.238
270,0.27,10,817,0.026314,0.032346,-842.485,-44.3669,52.1729,412.255
271,0.271,10,817,0.016955,0.14489,-836.732,-58.0179,44.8949,408.276
272,0.272,8,817,0.019679,0.1349,-830.762,-73.5173,38.1765,404.302
273,0.273,8,817,0.015594,0.084004,-824.337,-90.8237,32.2086,400.325
274,0.274,7,817,0.092715,0.249123,-817.255,-109.889,27.1367,396.339
275,0.275,4,815,0.017892,0.156888,-809.371,-130.66,23.0519,392.333
276,0.276,4,813,0.024445,0.232035,-800.599,-153.076,19.9905,388.292
277,0.277,3,809,0.036234,0.040199,-790.899,-177.07,17.9447,384.204
278,0.278,3,804,0.019791,0.210144,-780.272,-202.572,16.8676,380.05
279,0.279,2,798,0.021411,0.120005,-768.759,-229.506,16.678,375.816
280,0.28,2,795,0.017151,0.112755,-756.447,-257.793,17.2674,371.483
281,0.281,1,789,0.013531,0.149343,-743.444,-287.349,18.5054,367.031
282,0.28200000000000003,0,782,0.061305,0.181674,-729.892,-318.087,20.2486,362.443
283,0.28300000000000003,0,778,0.012503,0.279729,-715.949,-349.919,22.3539,357.698
284,0.28400000000000003,0,774,0.014327,0.154242,-701.758,-382.755,24.6905,352.777
285,0.28500000000000003,0,765,0.016838,0.036611,-687.453,-416.502,27.1457,347.661
286,0.28600000000000003,0,760,0.02221,0.048247,-673.146,-451.067,29.6291,342.335
287,0.28700000000000003,0,755,0.011328,0.035803,-658.927,-486.36,32.0736,336.782
288,0.28800000000000003,0,753,0.012909,0.107349,-644.861,-522.287,34.4341,330.987
289,0.289,0,750,0.077063,0.159118,-630.992,-558.755,36.6837,324.936
290,0.29,0,747,0.01319,0.032748,-617.346,-595.671,38.8082,318.615
291,0.291,0,745,0.013041,0.102521,-603.933,-632.942,40.7999,312.011
292,0.292,0,741,0.059177,0.09553,-590.761,-670.478,42.6515,305.116
293,0.293,0,739,0.013132,0.035143,-577.835,-708.191,44.3516,297.923
294,0.294,0,737,0.013388,0.178004,-565.166,-745.993,45.882,290.427
295,0.295,0,734,0.015281,0.711138,-552.771,-783.8,47.2163,282.626
296,0.296,0,733,0.130225,0.033624,-540.678,-821.529,48.3209,274.523
297,0.297,0,730,0.012254,0.126918,-528.919,-859.097,49.1564,266.124
298,0.298,0,729,0.037805,0.032342,-517.536,-896.427,49.6804,257.436
299,0.299,0,725,0.054993,0.033881,-506.57,-933.439,49.8508,248.474
300,0.3,0,725,0.105329,0.110693,-496.065,-970.058,49.6297,239.254
301,0.301,0,724,0.07318,0.032398,-486.06,-1006.21,48.9872,229.795
302,0.302,0,722,0.128149,0.034106,-476.585,-1041.82,47.9052,220.122
303,0.303,0,722,0.035404,0.125985,-467.658,-1076.81,46.3806,210.263
304,0.304,0,721,0.0244,0.119668,-459.283,-1111.12,44.4279,200.248
305,0.305,0,721,0.045108,0.037194,-451.445,-1144.66,42.0796,190.112
306,0.306,0,721,0.065722,0.030287,-444.112,-1177.37,39.3863,179.892
307,0.307,0,721,0.106769,0.139782,-437.231,-1209.17,36.415,169.627
